,origin,vectors_redux,target
11,s3a://vivianorsprojet8/dataset/Pineapple/42_100.jpg,"[12.70219576162956, -3.928233651148703, 0.36550141615271403, -7.303556666267622, 1.812304786087128, 4.038004736403467, -0.6812712090444001, 4.293531218282245, 6.352191841675377, -1.989756969381523]",Pineapple
12,s3a://vivianorsprojet8/dataset/Pineapple/118_100.jpg,"[11.50756166045448, -1.954223749362643, 0.033817246387621, -3.221561157325328, -0.82424516449502, 0.22549619925865402, 0.374084012501728, 0.350945000550114, 1.900718531186954, -0.8844301907966591]",Pineapple
13,s3a://vivianorsprojet8/dataset/Pineapple/129_100.jpg,"[11.634592635581063, -1.8745049272419192, -0.28615050764084504, -3.260393258821711, -1.068965842328933, 0.445314176679352, 0.401437448671746, -0.14575709556458902, 1.337912813932848, -1.902738630806073]",Pineapple
14,s3a://vivianorsprojet8/dataset/Pineapple/81_100.jpg,"[12.458614474330329, -2.681173196446818, -0.8015528419676371, -3.896280040166544, 0.46851865568892803, -1.148618200133327, 0.369741014863786, -0.9318070885038731, 0.937564311186154, 0.345366981766604]",Pineapple
15,s3a://vivianorsprojet8/dataset/Pineapple/110_100.jpg,"[11.875765878899864, -2.146945958110063, 0.35852081640736005, -3.9215781767770723, -0.39554523632204003, 1.221014745223467, 0.20773376984194902, 0.178984044125121, 1.522798915016851, -0.5755667417368201]",Pineapple
16,s3a://vivianorsprojet8/dataset/Pineapple/124_100.jpg,"[11.62510047232536, -1.7729148941308241, 0.012108683761496, -3.263704045614021, -0.845759466594281, 0.16120339899308, 0.372295345636022, 0.29827394738532004, 1.572608716168868, -1.074900088297776]",Pineapple
17,s3a://vivianorsprojet8/dataset/Pineapple/69_100.jpg,"[12.829517916660821, -2.520876414884371, -0.18358477438470203, -3.396317129709734, 0.7777262350793801, -1.7760615650060991, 1.203340203414149, -0.324648718281353, 1.442410420161466, -0.41673409941951606]",Pineapple
18,s3a://vivianorsprojet8/dataset/Pineapple/160_100.jpg,"[11.75658512643947, -2.5677456432631303, -1.5228247650957591, -3.371149337963439, -1.456267040348182, 2.383974047271596, 0.8265706778090961, 1.113170639360587, 0.8152859308622581, -1.8609103706056822]",Pineapple
19,s3a://vivianorsprojet8/dataset/Pineapple/109_100.jpg,"[11.935107803726407, -2.189629759824431, 0.352469440209321, -4.112818259778912, -0.235052721835755, 0.92822003794463, 0.184837619464492, 0.11978731730321801, 1.859602934858518, -0.36602365250002905]",Pineapple
20,s3a://vivianorsprojet8/dataset/Pineapple/111_100.jpg,"[11.89379955679542, -2.194789377994465, 0.545852197955632, -3.829792346271158, -0.5246389158342151, 1.600143488576435, 0.251829996343374, 0.649191855436355, 1.150428135830823, -0.7052880527153531]",Pineapple
21,s3a://vivianorsprojet8/dataset/Pineapple/126_100.jpg,"[11.68632205297632, -1.844708797022071, -0.210140311856085, -3.280929710641341, -1.008676183668588, -0.16888261258921, 0.5115609308702911, 0.177818904636273, 1.843056246770665, -1.544604433351576]",Pineapple
22,s3a://vivianorsprojet8/dataset/Pineapple/123_100.jpg,"[11.728683190781647, -1.9258592390910532, -0.184788850360274, -3.459643275809861, -0.9215827020618851, -0.250573559921836, 0.308346789029321, 0.24602816742678002, 2.6171049227566963, -1.345769862191621]",Pineapple
23,s3a://vivianorsprojet8/dataset/Pineapple/80_100.jpg,"[12.574526942376345, -2.6270537829421263, -0.83737889743682, -3.979015959174162, 0.332579835937773, -0.9460611184683411, 0.436438504191735, -0.6325835473132391, 1.282481778355723, -0.044876705223844]",Pineapple
24,s3a://vivianorsprojet8/dataset/Pineapple/120_100.jpg,"[11.58048370916738, -1.9409010383579122, -0.10568718103495, -3.439334298028578, -0.811651729370318, 0.146576290907308, 0.39406685078623305, 0.213398612639524, 1.642855224297332, -0.6598130733830181]",Pineapple
25,s3a://vivianorsprojet8/dataset/Pineapple/50_100.jpg,"[12.461555655396639, -4.227676710932813, -0.556464667384673, -6.7792554826446985, 1.452773199433155, 4.6924685943515065, -0.23052795753978403, 4.26848730676028, 5.060199380072992, -0.5727057670816871]",Pineapple
26,s3a://vivianorsprojet8/dataset/Pineapple/105_100.jpg,"[11.708183142853107, -2.16357558893345, -0.035557071927939006, -3.831387835773688, 0.17814154823835002, 1.240330000571833, -0.38545220660838403, 0.020056730787099002, 1.9584354346033201, -0.5801960434042881]",Pineapple
27,s3a://vivianorsprojet8/dataset/Pineapple/152_100.jpg,"[11.597353059583806, -1.916975799816115, -0.883071222762386, -2.6774095776605122, -1.580480428637744, -0.24425501519382903, 0.686759457614307, -0.7596461179457551, 1.274016429063862, -2.144506275571597]",Pineapple
28,s3a://vivianorsprojet8/dataset/Pineapple/107_100.jpg,"[11.987582764184644, -2.180408554736975, 0.23983234545137203, -4.238852342121297, -0.031076466711431, 1.155639012281331, 0.013252344375126, 0.050050217421711, 1.600301409139367, -0.288920305383706]",Pineapple
29,s3a://vivianorsprojet8/dataset/Pineapple/115_100.jpg,"[11.816117987049799, -2.250880080282776, 0.17894581516510302, -3.7883700367634763, -0.663033264847234, 0.767473300361869, 0.46317817661354005, 0.39777108543056605, 1.65178077174614, -0.84753482315307]",Pineapple
30,s3a://vivianorsprojet8/dataset/Pineapple/174_100.jpg,"[11.60927393074149, -2.368449507560546, -1.8192370326519591, -2.426679184212739, -1.264033085304952, 1.130026494006388, 1.312270664956267, 0.701860441854925, -0.319243483614482, -2.6716749526213768]",Pineapple
31,s3a://vivianorsprojet8/dataset/Pineapple/41_100.jpg,"[12.572312366472351, -3.422426918298988, 0.7319818112631961, -5.728410349523087, 1.33159485590749, 0.5927169675139671, -0.433537642345235, 1.814394007099678, 3.467636077064681, -1.635415090955834]",Pineapple
32,s3a://vivianorsprojet8/dataset/Pineapple/65_100.jpg,"[13.021208264387804, -2.691972474068592, 0.398554147085916, -3.336431336538726, 1.008665509622891, -2.770326904114524, 1.541041795220224, 0.096934965994155, 1.317789771702571, 0.219058249837621]",Pineapple
33,s3a://vivianorsprojet8/dataset/Pineapple/51_100.jpg,"[12.143461060829429, -3.6803824955689572, -0.40202104380588505, -4.5985999826855455, 1.287922843750747, 1.195678596961312, -0.21634539900572403, 1.995587485532968, 3.341687021205841, -0.47394426737111506]",Pineapple
34,s3a://vivianorsprojet8/dataset/Pineapple/153_100.jpg,"[11.742696360923194, -2.053173739313891, -0.46001893978595704, -2.939336417829356, -1.753272058795111, -0.121219334423787, 1.075419546720416, -0.372563730128796, 1.09223358276383, -2.511344984672473]",Pineapple
35,s3a://vivianorsprojet8/dataset/Pineapple/284_100.jpg,"[11.496948703886048, -3.503660452163821, 1.011030787773917, -5.64025127775318, 0.036085504271977, 0.316653323336403, 0.26352069536899503, 0.210838726980969, -0.768061957982581, -0.041912814779561006]",Pineapple
36,s3a://vivianorsprojet8/dataset/Pineapple/158_100.jpg,"[11.7710990140803, -2.6324474585456583, -1.000607045228284, -3.600088259656747, -1.688905133308416, 2.415928532255936, 1.100192938537221, 1.004310960477833, 0.9914774381704331, -2.157033578525174]",Pineapple
37,s3a://vivianorsprojet8/dataset/Pineapple/106_100.jpg,"[11.906709295913608, -2.09385882768785, 0.45355150097254204, -4.059560545914199, 0.053549078734480005, 0.7454247385407661, 0.178606937742985, 0.08882597655379601, 2.138330585116154, -0.49674053606288304]",Pineapple
38,s3a://vivianorsprojet8/dataset/Pineapple/287_100.jpg,"[11.025983818328282, -3.363266971782531, 0.5981794241267171, -5.132025906888015, 0.163891072166883, 1.121960136213427, -0.165072847162717, 0.232734901483086, -1.109654073184254, -0.199464316837863]",Pineapple
39,s3a://vivianorsprojet8/dataset/Pineapple/122_100.jpg,"[11.64452665654401, -1.839170415948499, -0.120448125927193, -3.250174647563933, -0.7983235018578541, -0.070284102714693, 0.36456451409351803, 0.196891274963155, 1.876377934151039, -0.8980561754694331]",Pineapple
40,s3a://vivianorsprojet8/dataset/Pineapple/259_100.jpg,"[11.736947164692543, -2.619397305676395, -0.012662002274067, -5.710870602234203, 0.7486050182323231, -2.116195172380058, 0.199716373343323, -2.6105600018009643, -4.436450399292159, 4.146212400906901]",Pineapple
41,s3a://vivianorsprojet8/dataset/Pineapple/40_100.jpg,"[12.525732578006409, -3.309512478946661, 0.9106884318969921, -5.696080626855336, 1.399255060996407, 0.7227519573433181, -0.452365362991543, 1.6879460460997682, 3.293773267441898, -1.770707848948999]",Pineapple
42,s3a://vivianorsprojet8/dataset/Pineapple/148_100.jpg,"[11.857381962194978, -2.027420904791073, -0.9034430250709071, -3.140688789622721, -1.4944867879294321, 0.47594475628127303, 0.583072908938106, -0.274895591821232, 1.429909761690399, -2.7262284894099063]",Pineapple
43,s3a://vivianorsprojet8/dataset/Pineapple/164_100.jpg,"[11.719979303344362, -2.769327056082723, -1.137593780530788, -3.461471756120406, -1.221693371232744, 2.241409683658697, 0.9831435599547701, 1.274697039038615, -0.011241271251352, -2.351167836250409]",Pineapple
44,s3a://vivianorsprojet8/dataset/Pineapple/141_100.jpg,"[12.111383338060062, -1.990418716920989, -0.577733708485495, -3.188089563323986, -1.06993930278841, 0.661643020808517, 0.443363408534293, 0.300912206185659, 2.339036153796341, -3.182517028790132]",Pineapple
45,s3a://vivianorsprojet8/dataset/Pineapple/52_100.jpg,"[12.114248675300228, -3.761983725638755, -0.48123322005226904, -4.6290936385790715, 0.914045094460169, 1.212011998249993, 0.068988107707408, 1.9151720463066781, 3.232001604457933, -0.5661159421713791]",Pineapple
46,s3a://vivianorsprojet8/dataset/Pineapple/108_100.jpg,"[12.001591166809025, -2.094077913072079, 0.40620195056162806, -4.175294974158249, -0.21766897824675502, 1.069173836945145, 0.23888623259452402, 0.190318891078739, 1.933032486344347, -0.530151413099153]",Pineapple
47,s3a://vivianorsprojet8/dataset/Pineapple/33_100.jpg,"[13.037717755458884, -4.010488586014883, 1.07608839312748, -7.645169383035267, 1.8598991974694732, 2.314169475987468, -0.6557395327885981, 3.224203647168553, 4.519724268221528, -1.640180376669549]",Pineapple
48,s3a://vivianorsprojet8/dataset/Pineapple/49_100.jpg,"[12.21022250536833, -3.773456050452249, -0.33962294894496203, -5.213382125478643, 1.127087506568002, 1.364717726630477, -0.341552286141864, 2.022154513061566, 3.836909143713415, -1.053509958401457]",Pineapple
49,s3a://vivianorsprojet8/dataset/Pineapple/156_100.jpg,"[11.633718531273898, -2.047526592398023, -0.832521257922878, -2.733971013531967, -1.6693312755863352, -0.19716788161631402, 0.7478643852658521, -0.43030903139338905, 1.318134921663081, -2.181339898174683]",Pineapple
50,s3a://vivianorsprojet8/dataset/Pineapple/262_100.jpg,"[11.804174262382999, -2.6873495732793122, 0.42319780595065803, -5.434249470076668, 0.5579759855941201, -1.783699395175178, 0.32567142986148, -2.296441617735585, -3.690663654504092, 3.0041886419639]",Pineapple
51,s3a://vivianorsprojet8/dataset/Pineapple/132_100.jpg,"[11.572223862458662, -1.8346134230763431, -0.536765646827109, -2.849370758608332, -1.182849596718056, 0.9239972471279271, 0.22232978664257802, -0.34941144840438004, 0.8553526028875401, -2.340610698383805]",Pineapple
52,s3a://vivianorsprojet8/dataset/Pineapple/43_100.jpg,"[12.355142004007334, -3.456544407100544, 0.6431761422775031, -5.540825054278469, 1.299008161835729, 0.608477445061517, -0.38311723944742604, 1.684703717870832, 3.47014725005989, -1.479752494196125]",Pineapple
53,s3a://vivianorsprojet8/dataset/Pineapple/175_100.jpg,"[11.881639306743168, -2.577458811582866, -1.767961383049639, -2.909822682546142, -1.344574667871645, 0.72235438796558, 1.4561558225461662, 0.795360889940472, 0.15731463162999001, -2.814623932841272]",Pineapple
54,s3a://vivianorsprojet8/dataset/Pineapple/45_100.jpg,"[12.314286515298084, -3.540031700266436, 0.31450508124325705, -5.394647329646683, 1.3844106287666071, 0.7151131762013391, -0.398525337444172, 2.046257864482216, 3.83644448517055, -1.3456959229362981]",Pineapple
55,s3a://vivianorsprojet8/dataset/Pineapple/82_100.jpg,"[12.728982979175344, -2.624174154526264, -0.849483525356278, -4.148988952998884, 0.37066231288885204, -1.326007991089762, 0.48784939773022706, -0.6371562320880221, 2.260914219318371, -0.041484221436810007]",Pineapple
56,s3a://vivianorsprojet8/dataset/Pineapple/150_100.jpg,"[11.612249967482779, -1.864579176980448, -0.755317861408192, -2.703806539705686, -1.5566984945715099, 0.059112974954658004, 0.623444327308559, -0.6616913414937571, 1.1996475359649281, -2.284359559050281]",Pineapple
57,s3a://vivianorsprojet8/dataset/Pineapple/11_100.jpg,"[12.733809589805361, -3.545132633194657, 1.336113595695702, -7.477320217241649, 2.006683119668048, -3.067007346440871, 1.148304026672558, -2.376973793423891, -3.703646551282268, 5.989040874144938]",Pineapple
58,s3a://vivianorsprojet8/dataset/Pineapple/282_100.jpg,"[11.456844131990744, -3.454667983703725, 1.139381865371719, -5.608410100083654, -0.22930998226885002, 1.292041173064952, 0.18589574001428202, 0.908804684893432, -1.7629433398377299, 0.185569678976597]",Pineapple
59,s3a://vivianorsprojet8/dataset/Pineapple/201_100.jpg,"[12.757643243490044, -2.927852791013609, -3.024445633031954, -4.148572054299294, -1.041773739457285, 1.9665319396013192, 0.9237830462716111, 0.374150271711223, -2.271306540475235, -2.9825247919917692]",Pineapple
60,s3a://vivianorsprojet8/dataset/Pineapple/248_100.jpg,"[12.25472011308352, -2.843637088266091, 0.006283533162291, -5.468178707602401, -0.25588316409955003, -0.6947936062952721, -0.22761027094923303, -0.5983726656368701, -2.675475957676447, 0.929325130551309]",Pineapple
61,s3a://vivianorsprojet8/dataset/Pineapple/138_100.jpg,"[12.399300817559679, -2.140419921643813, 0.055053415592187, -3.382911068843442, -1.45197358482321, 0.469089312206992, 0.947462485922107, 0.721647891262002, 1.704040523512019, -3.434398354128191]",Pineapple
62,s3a://vivianorsprojet8/dataset/Pineapple/48_100.jpg,"[12.206308036656806, -3.547753342827824, 0.020593537518871, -5.051653157357617, 1.296103651357401, 1.001838987975994, -0.445994872245193, 2.337351554288014, 4.050234244969408, -1.207893308628515]",Pineapple
63,s3a://vivianorsprojet8/dataset/Pineapple/102_100.jpg,"[12.238494681115439, -2.265081419341802, 0.27409761980803005, -4.222913981737066, 0.27773426441112403, 0.31649069662516505, -0.08216746387724201, 0.46060260355117605, 2.717419344973818, -0.547280015517814]",Pineapple
64,s3a://vivianorsprojet8/dataset/Pineapple/163_100.jpg,"[11.657688222809998, -2.72203498563855, -1.6297777794418642, -3.385343967590906, -1.36985240980777, 2.011397179797426, 0.693566887744218, 1.072204105531686, 0.524108457541643, -1.912797795910767]",Pineapple
65,s3a://vivianorsprojet8/dataset/Pineapple/128_100.jpg,"[11.626334071846504, -1.278973086204019, 0.12405254706862501, -2.176143587924856, -1.035259407542714, -2.060915397200308, 0.5743586599221191, 0.044610362846614, 1.406452455824079, -2.106815257468101]",Pineapple
66,s3a://vivianorsprojet8/dataset/Pineapple/296_100.jpg,"[11.515743154100333, -3.198692182851019, 1.54470132493742, -4.979470186646412, 0.5908491065063121, -1.691034837931972, 0.546894002458857, -0.549900222256244, -0.9777701179125451, -0.05538441630455301]",Pineapple
67,s3a://vivianorsprojet8/dataset/Pineapple/260_100.jpg,"[11.916577059297845, -2.712685166753968, 0.15352173542928002, -5.79012603502299, 0.6925167277105451, -2.186921774275847, 0.34882955992311504, -2.532561313590543, -4.184656942204431, 3.889661651632892]",Pineapple
68,s3a://vivianorsprojet8/dataset/Pineapple/171_100.jpg,"[11.595442203120067, -2.588476156795313, -1.680105018416334, -2.8476964152321522, -1.1607431270939181, 1.6960243378788342, 1.002187317485427, 0.8303458288622011, 0.0035757598538700003, -2.549460593179041]",Pineapple
69,s3a://vivianorsprojet8/dataset/Pineapple/131_100.jpg,"[11.932927196418909, -1.992637696945307, -0.089601945898375, -3.2948306666154012, -1.139506586568342, -0.002228457758119, 0.676630635461637, 0.109068568072314, 1.778486229556084, -2.375525389489807]",Pineapple
70,s3a://vivianorsprojet8/dataset/Pineapple/139_100.jpg,"[12.218157331160075, -1.611791341440581, -0.14550218406513402, -2.721913486785067, -1.454362208319821, -1.270904320777827, 0.846967534548244, -0.7135785654490541, 0.8297901319002811, -3.371097365513688]",Pineapple
71,s3a://vivianorsprojet8/dataset/Pineapple/277_100.jpg,"[11.503027350348335, -3.353680439687246, 1.272932192283201, -5.506190822268004, -0.083238596648879, 1.06867257862777, 0.191070546604157, 0.41773707246492303, -2.152361044746457, 0.48202475480955803]",Pineapple
72,s3a://vivianorsprojet8/dataset/Pineapple/53_100.jpg,"[12.015244806820577, -3.801809760107277, -0.40516548216183, -4.241257980492825, 1.085458594028679, 1.209496228711507, 0.13723438131545102, 2.015878764445008, 3.201207746641115, -0.536774705153373]",Pineapple
73,s3a://vivianorsprojet8/dataset/Pineapple/134_100.jpg,"[11.872358727532852, -1.9021704586784272, -0.631251554744919, -3.098337448251, -1.29294379425918, 0.8808814964371471, 0.29674889092168805, -0.17633677311845802, 1.0256053107596521, -2.469860822370559]",Pineapple
74,s3a://vivianorsprojet8/dataset/Pineapple/166_100.jpg,"[11.597417600574909, -2.405527320140423, -0.9922536234894991, -2.665076008627507, -1.09429536563454, 1.3158664914983031, 1.257717460718686, 1.077866740789623, 0.536613727098698, -2.431308909356996]",Pineapple
75,s3a://vivianorsprojet8/dataset/Pineapple/263_100.jpg,"[11.717022080371695, -2.778865397093152, 0.48910511445223803, -5.464477040589452, 0.561621642259587, -1.84372868704944, 0.332103487142758, -2.335547155319212, -3.760879211217054, 3.027808356264013]",Pineapple
76,s3a://vivianorsprojet8/dataset/Pineapple/61_100.jpg,"[12.242832716230666, -3.221235495421995, -0.43980638195014604, -3.175016622907432, 0.903110162649922, 0.18438792705957302, 0.7422884774867191, 0.40832262147200404, 1.69173347025652, -0.294579856045639]",Pineapple
77,s3a://vivianorsprojet8/dataset/Pineapple/87_100.jpg,"[12.30595352810037, -2.613849717170698, -0.59936333448151, -3.595112927541506, 0.422496791873587, -0.8916821252436851, 0.14177443654347502, -0.28826337359839105, 2.186948908936963, -0.074088743185273]",Pineapple
78,s3a://vivianorsprojet8/dataset/Pineapple/101_100.jpg,"[11.880001516512536, -2.230005446541211, 0.18062987766673602, -3.682410067503623, 0.304897164049099, 0.42885063523500405, -0.10581346003970502, 0.163611785546445, 2.260798184598472, -0.48023613621516104]",Pineapple
79,s3a://vivianorsprojet8/dataset/Pineapple/245_100.jpg,"[12.312345628451473, -3.5135202805936743, -0.460932096673671, -6.141929389849955, -0.524929148670348, 1.483737970977049, -0.26485593780925504, 1.125439226983006, -1.616431899859518, 0.8301830026128171]",Pineapple
80,s3a://vivianorsprojet8/dataset/Pineapple/86_100.jpg,"[12.362890690731822, -2.594980099677663, -0.799392302371092, -3.6697062738854953, 0.538330689269236, -0.818429741791977, 0.018277297313183002, -0.28855428324403903, 2.7774060178650912, -0.38780685388506403]",Pineapple
81,s3a://vivianorsprojet8/dataset/Pineapple/104_100.jpg,"[11.869729551690602, -1.705753086280847, 0.40856744106916304, -2.659093203205328, 0.124771714471648, -1.322866473365702, -0.07247428836688301, -0.6254327772396411, 1.459297226834499, -1.283399250800929]",Pineapple
82,s3a://vivianorsprojet8/dataset/Pineapple/85_100.jpg,"[12.744440549545759, -2.277938680835113, -0.22916106916789403, -3.576753640324177, 0.8420288234881711, -3.68173513490909, 0.6296035467701571, -0.9318695241991821, 0.689268457237401, 0.66811894624208]",Pineapple
83,s3a://vivianorsprojet8/dataset/Pineapple/299_100.jpg,"[12.640573425509732, -3.9144660951156043, 2.706853821432955, -8.473194964493011, 1.3056461867564821, 0.179354384697285, 1.216455295507518, -0.257899315127783, -3.374948347954529, 3.9009412280014732]",Pineapple
84,s3a://vivianorsprojet8/dataset/Pineapple/46_100.jpg,"[12.58021254066216, -4.111832898953418, -0.38447833740451404, -7.064824089498548, 1.770569684531192, 4.199164459460443, -0.504889241756107, 4.404641291014097, 6.196130072319964, -1.366655530430253]",Pineapple
85,s3a://vivianorsprojet8/dataset/Pineapple/60_100.jpg,"[12.188117157563333, -3.2053059864575832, -0.46134303195727305, -2.930189547264442, 0.7715818778025111, -0.19140218610211202, 0.777035693710424, 0.42440343221109106, 1.741447192309237, -0.511988848790215]",Pineapple
86,s3a://vivianorsprojet8/dataset/Pineapple/161_100.jpg,"[11.496835874426111, -2.570896282234862, -1.398342600238631, -2.9916109979793992, -1.398211318269192, 1.836990558611741, 0.7833525034210861, 0.8940645405157821, 1.110216010932958, -1.9587921634353602]",Pineapple
87,s3a://vivianorsprojet8/dataset/Pineapple/285_100.jpg,"[11.392481375289679, -3.560478170369521, 0.847530220894241, -5.513369169663598, 0.129448819280844, 0.5473249178196761, 0.149801776604314, 0.11929464585254501, -1.003774001179934, 0.08267198378683001]",Pineapple
88,s3a://vivianorsprojet8/dataset/Pineapple/294_100.jpg,"[11.400116630344375, -3.165216943030892, 1.232064219487653, -4.511496495585501, 0.401257649748582, -1.629670368354849, 0.301346814505349, -0.267224630088695, -0.611948169195874, -0.719373462516379]",Pineapple
89,s3a://vivianorsprojet8/dataset/Pineapple/327_100.jpg,"[12.919247069617537, -3.863316250819624, 1.212331823857215, -6.833559652130075, 1.545546956094882, 0.43292448812034, -0.021830498190175, 0.63575643072746, -0.38676815183275703, 1.020185039236673]",Pineapple
90,s3a://vivianorsprojet8/dataset/Pineapple/162_100.jpg,"[11.862688681167121, -2.757742370614313, -1.257627819216258, -3.738017002298116, -1.579892765602842, 2.27612165976855, 0.9692094593819741, 1.443991857153673, 0.576352642274499, -2.271951624756425]",Pineapple
91,s3a://vivianorsprojet8/dataset/Pineapple/136_100.jpg,"[12.148158668882695, -1.956237348233247, -0.382017489288761, -3.315178753854933, -1.395778965940224, 0.7695673035537951, 0.571952790940027, 0.39622181646158705, 1.526782574760122, -3.011411827180099]",Pineapple
92,s3a://vivianorsprojet8/dataset/Pineapple/182_100.jpg,"[12.026720780214303, -2.462408185655039, -3.1771559136058602, -2.757640795598854, -1.1687895581284171, 0.5572376545052941, 1.226998395154578, 0.33464305831413704, -0.471036773681527, -2.451691118931223]",Pineapple
93,s3a://vivianorsprojet8/dataset/Pineapple/62_100.jpg,"[12.469424556693559, -3.153378475542947, -0.5417045937192381, -3.4300585900183282, 0.659529517063269, 0.106822879129935, 0.8021344285117271, 0.393836865676817, 2.069793961818761, -0.512046509912321]",Pineapple
94,s3a://vivianorsprojet8/dataset/Pineapple/71_100.jpg,"[12.890037113751983, -2.5606639167136303, -0.501393530068827, -3.639070022139027, 0.524272690676148, -1.508308467197466, 1.075696796774917, -0.350384165899418, 1.2637740921058151, -0.6554173136007471]",Pineapple
95,s3a://vivianorsprojet8/dataset/Pineapple/318_100.jpg,"[12.610118147339731, -3.452904831445001, 1.00889984047427, -6.865103633627022, 1.898879404248152, -1.549274828113035, 0.36413271935381203, -1.7754079076394462, -3.348456623641353, 4.448498467660134]",Pineapple
96,s3a://vivianorsprojet8/dataset/Pineapple/181_100.jpg,"[12.110983464480666, -2.656190604638332, -3.14222837958323, -2.787397710098234, -1.099733291312911, 0.8637932837906, 1.313905958960987, 0.501125041118156, -0.42279216255845103, -2.592905908383486]",Pineapple
97,s3a://vivianorsprojet8/dataset/Pineapple/280_100.jpg,"[11.512082642003397, -3.368796369260568, 1.322180254286663, -5.592072566973887, -0.212106683207531, 1.211247899486803, 0.325175051583289, 0.7747329234903121, -1.7931455243070382, 0.238454206687975]",Pineapple
98,s3a://vivianorsprojet8/dataset/Pineapple/68_100.jpg,"[13.145948430994688, -2.004123222318224, 0.46911167503309, -3.154228819359379, 1.215037965608627, -5.212715935455416, 1.8108878038714322, -0.9305396646045571, 0.035658763344444004, 1.128047665463037]",Pineapple
99,s3a://vivianorsprojet8/dataset/Pineapple/165_100.jpg,"[11.69548034556328, -2.7142456443397522, -1.372174369974582, -3.2758475522876243, -1.192625483574344, 1.865864895814846, 0.8639398104168471, 1.199864097019703, 0.43771069298922805, -2.089294003299974]",Pineapple
100,s3a://vivianorsprojet8/dataset/Pineapple/249_100.jpg,"[12.365656802744693, -2.95557854417253, 0.085327554087191, -5.940725122079777, 0.02326415396393, -0.8912461059905871, -0.090520843933936, -0.792291246761457, -2.978084110722842, 1.790922307332755]",Pineapple
101,s3a://vivianorsprojet8/dataset/Pineapple/55_100.jpg,"[12.010633990726793, -3.719672565004239, -0.219802409681143, -3.742035811082885, 1.025020527645938, 1.333943338554106, 0.35239459509101, 1.952091464842412, 2.5159513190145653, -0.312660461878275]",Pineapple
102,s3a://vivianorsprojet8/dataset/Pineapple/66_100.jpg,"[13.319003984136895, -2.098721636254565, 1.076340093594744, -3.1082553053714452, 1.321972528892511, -6.086340448064917, 2.151679297302689, -0.47247770615823403, 0.17918436374058402, 1.416282321666868]",Pineapple
